,'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature','Mean Feature','Variance Feature','Standard Deviation Feature','RMS Feature',diagnostic
1734,0.04274,0.120918,0.839337,0.344896,0.934656,0.187354,0.00874,9.6e-05,0.008836,0.177549,3
1689,0.254026,0.454205,0.462474,0.261485,0.723011,0.126934,0.009454,8.9e-05,0.008486,0.171134,3
412,0.031938,0.090603,0.879552,0.657714,0.755212,0.500799,0.02423,0.001477,0.037466,0.293668,6
1598,0.037611,0.104146,0.862211,0.536216,0.826926,0.362866,0.082514,0.007548,0.08596,0.472051,1
1602,0.066879,0.181352,0.76109,0.26151,0.918569,0.126807,0.066916,0.002636,0.050391,0.481761,3
2208,0.040468,0.112878,0.850438,0.388464,0.915659,0.222812,0.069163,0.003972,0.062081,0.42117,3
1330,0.007469,0.022098,0.970383,0.607412,0.934733,0.441094,0.354454,0.115339,0.338948,0.660751,1
278,0.168534,0.314762,0.622079,0.339862,0.693907,0.183537,0.170632,0.033228,0.181458,0.559956,3
1636,0.038937,0.102001,0.866515,0.282302,0.986381,0.140893,0.012424,0.000157,0.011555,0.232817,1
455,0.05766,0.133784,0.829807,0.412798,0.877593,0.243746,0.048471,0.003613,0.05916,0.349446,1
2059,0.093396,0.231058,0.701631,0.280944,0.853662,0.140204,0.002524,1.1e-05,0.002488,0.049891,2
241,0.053787,0.140195,0.816818,0.346184,0.903763,0.188359,0.023258,0.00071,0.025678,0.317851,5
530,0.043736,0.114905,0.849557,0.41844,0.887848,0.248764,0.077497,0.007213,0.084006,0.423588,1
1296,0.069023,0.17262,0.77659,0.413327,0.792172,0.244424,0.012805,0.000268,0.015389,0.223787,1
1221,0.150217,0.324734,0.594395,0.221297,0.806686,0.101333,0.032132,0.000693,0.025361,0.370667,3
1410,0.051747,0.143995,0.809303,0.378204,0.891363,0.214152,0.282358,0.061651,0.247537,0.770552,1
1069,0.045533,0.123853,0.836739,0.240104,0.974966,0.112758,0.028481,0.000676,0.025033,0.403377,4
316,0.08536,0.197111,0.749096,0.277071,0.893381,0.137374,0.091653,0.007621,0.086378,0.514191,1
1804,0.042978,0.11713,0.845543,0.530032,0.868734,0.356373,0.04111,0.002567,0.049713,0.342761,1
1147,0.055811,0.150347,0.802223,0.423864,0.844877,0.253749,0.082334,0.007244,0.084188,0.444665,4
1803,0.285899,0.495873,0.42025,0.211824,0.673955,0.095385,0.032494,0.000675,0.025021,0.32889,1
1761,0.018389,0.052712,0.929781,0.527016,0.966726,0.353128,0.082539,0.005216,0.071287,0.514477,5
335,0.070506,0.191491,0.747667,0.332164,0.878363,0.177578,0.006106,5.7e-05,0.006636,0.133026,1
1057,0.0662,0.165834,0.785014,0.461704,0.753155,0.288536,0.011962,0.000276,0.015639,0.229839,2
1906,0.04475,0.121407,0.840014,0.295942,0.970733,0.150546,0.050825,0.002313,0.047139,0.445316,1
982,0.031511,0.087919,0.883502,0.306159,0.959987,0.157973,0.095266,0.007251,0.084233,0.489114,1
545,0.062966,0.169857,0.776481,0.353907,0.856681,0.194577,0.038452,0.001128,0.032624,0.4007,3
1755,0.0508,0.13765,0.818702,0.327729,0.939817,0.174056,0.022457,0.000487,0.021104,0.359091,1
1591,0.236338,0.372161,0.577035,0.309241,0.669286,0.160312,0.006678,6.1e-05,0.006846,0.13746,3
1178,0.067881,0.173412,0.774427,0.255906,0.934133,0.123051,0.032132,0.00081,0.027496,0.351921,3
127,0.067581,0.180054,0.763668,0.311409,0.915257,0.161929,0.032132,0.00102,0.030965,0.349224,3
2276,0.058122,0.151976,0.801243,0.193418,0.978761,0.084488,0.004168,1.7e-05,0.003229,0.065413,1
109,0.061428,0.156089,0.797203,0.488665,0.747766,0.314565,0.047352,0.003425,0.05758,0.328439,3
1997,0.03941,0.110828,0.852918,0.425968,0.888722,0.255438,0.075924,0.008033,0.088708,0.36826,2
1013,0.270901,0.471038,0.446974,0.190423,0.722943,0.082964,0.123214,0.008127,0.089231,0.640042,1
1696,0.0224,0.064038,0.914738,0.462907,0.947972,0.28951,0.32021,0.136897,0.369358,0.606424,3
2225,0.077107,0.178196,0.772885,0.363245,0.847084,0.202013,0.063042,0.004001,0.062313,0.416223,1
1399,0.069591,0.129942,0.837187,0.332401,0.907266,0.177605,0.020324,0.00036,0.018012,0.363612,3
34,0.036115,0.102497,0.863728,0.262936,0.974693,0.127659,0.067165,0.003467,0.057931,0.463208,4
947,0.042085,0.110465,0.85546,0.456172,0.876851,0.283205,0.051116,0.003607,0.05911,0.357421,1
699,0.099934,0.215324,0.730724,0.30224,0.874974,0.155183,0.022531,0.000567,0.022833,0.34414,1
515,0.025424,0.072319,0.903808,0.374503,0.963613,0.211082,0.01135,0.000146,0.011138,0.224044,5
273,0.033354,0.093065,0.876684,0.608555,0.779068,0.442511,0.033407,0.002726,0.051255,0.291531,1
613,0.044998,0.119007,0.844012,0.551634,0.748815,0.379218,0.020359,0.000822,0.027697,0.217505,2
731,0.028445,0.080624,0.892837,0.585145,0.820769,0.415932,0.006831,8.6e-05,0.008346,0.166939,5
726,0.020577,0.058366,0.922409,0.567155,0.884405,0.396041,0.033708,0.001683,0.040065,0.30697,2
1002,0.326761,0.540973,0.37655,0.164144,0.689964,0.068655,0.058985,0.001882,0.042426,0.472617,3
1560,0.034326,0.097406,0.870501,0.37082,0.928833,0.208148,0.017015,0.000341,0.01751,0.269479,3
324,0.126206,0.268059,0.666478,0.385283,0.742446,0.220378,0.031682,0.001299,0.03508,0.31666,3
1954,0.061512,0.160734,0.78988,0.197036,0.977748,0.086573,0.014242,0.000152,0.011387,0.23072,1
654,0.097735,0.263214,0.653771,0.280227,0.820227,0.139713,0.008633,7.3e-05,0.007583,0.15303,3
773,0.033331,0.094021,0.875148,0.484889,0.885048,0.310752,0.080009,0.010641,0.10225,0.393729,1
1830,0.024521,0.067953,0.910085,0.464348,0.954966,0.290959,0.078126,0.009562,0.096875,0.415278,5
448,0.178098,0.285282,0.672772,0.347342,0.707721,0.189415,0.05893,0.003756,0.060341,0.357941,1
113,0.070417,0.187797,0.753473,0.388759,0.795227,0.223202,0.043824,0.002446,0.048502,0.370959,3
889,0.07469,0.195713,0.744019,0.324901,0.858418,0.171989,0.006158,5e-05,0.006121,0.122992,2
1058,0.021382,0.060988,0.918836,0.404503,0.943041,0.236455,0.082657,0.006848,0.081827,0.427287,1
1114,0.052396,0.140928,0.814622,0.268827,0.943438,0.131688,0.08107,0.005784,0.075124,0.449229,1
1094,0.110947,0.248942,0.685473,0.276516,0.848081,0.137034,0.036488,0.000995,0.030582,0.328667,2
1994,0.16523,0.347341,0.569007,0.277226,0.689653,0.137544,0.005763,2.8e-05,0.004343,0.088138,1
1813,0.061275,0.164147,0.784322,0.353312,0.878614,0.194229,0.052583,0.003077,0.05452,0.391487,1
2235,0.212167,0.407117,0.508123,0.176343,0.800205,0.075068,0.005482,2.1e-05,0.003652,0.074582,1
585,0.034807,0.0973,0.871028,0.453096,0.950869,0.280252,0.097555,0.011065,0.104286,0.444776,1
2144,0.195272,0.430682,0.459719,0.319089,0.320521,0.168037,0.008792,0.0001,0.009038,0.181537,4
1839,0.039571,0.109069,0.855834,0.524842,0.819645,0.351027,0.014389,0.000309,0.016603,0.21083,3
1534,0.1873,0.388507,0.520102,0.282767,0.56062,0.141733,0.013816,0.000168,0.011988,0.24213,1
710,0.086926,0.231164,0.696709,0.281137,0.857404,0.140271,0.043617,0.00143,0.036854,0.40024,1
247,0.244312,0.437777,0.479222,0.164049,0.842128,0.068675,0.020693,0.000255,0.015001,0.305355,1
1482,0.061991,0.16999,0.775554,0.396089,0.813262,0.229422,0.139116,0.021213,0.144784,0.549659,4
2010,0.168084,0.389286,0.505257,0.166818,0.826645,0.070008,0.0033,9e-06,0.002146,0.043833,4
743,0.040201,0.110504,0.854024,0.535448,0.828417,0.362087,0.033862,0.001137,0.032758,0.293366,5
1911,0.02696,0.076331,0.898564,0.343155,0.970026,0.185884,0.184881,0.030917,0.175,0.553386,1
1939,0.036752,0.104278,0.861367,0.553287,0.83926,0.380928,0.029935,0.00149,0.037644,0.344322,3
1864,0.064737,0.15745,0.796722,0.281014,0.926622,0.140076,0.108095,0.009522,0.096672,0.500706,3
1989,0.035207,0.095796,0.873681,0.355857,0.94851,0.195983,0.080019,0.004037,0.062592,0.508011,1
1413,0.041061,0.112126,0.852043,0.292691,0.962199,0.148295,0.005005,3.2e-05,0.004695,0.094466,1
596,0.152411,0.365841,0.531049,0.320801,0.831885,0.169332,0.00292,1.2e-05,0.002602,0.052371,5
718,0.043051,0.120899,0.839582,0.470543,0.88048,0.296852,0.093263,0.007959,0.088293,0.468587,1
469,0.028275,0.078816,0.895586,0.30345,0.987138,0.15595,0.011579,0.0001,0.009065,0.183805,2
1435,0.009267,0.02698,0.963951,0.673281,0.901348,0.519874,0.288584,0.146756,0.382463,0.541753,1
1210,0.14165,0.272506,0.669447,0.409208,0.711857,0.240775,0.013264,0.000316,0.016805,0.229598,3
1810,0.233147,0.402286,0.528742,0.193359,0.763219,0.084873,0.055001,0.001918,0.042839,0.448507,3
123,0.320537,0.556368,0.34947,0.244119,0.351973,0.115676,0.021006,0.00039,0.018777,0.304533,1
292,0.170011,0.347737,0.571026,0.243339,0.744061,0.11508,0.004243,2.2e-05,0.003836,0.077242,4
640,0.023427,0.064458,0.914824,0.649326,0.814233,0.490559,0.15424,0.059387,0.242929,0.384563,3
31,0.050885,0.115089,0.853775,0.564746,0.715095,0.393397,0.031566,0.001937,0.043057,0.286122,1
1615,0.024807,0.070573,0.906126,0.45253,0.936132,0.279714,0.083911,0.01061,0.102101,0.387472,5
2196,0.275334,0.425229,0.519791,0.232905,0.700727,0.108434,0.045621,0.001433,0.036891,0.402008,3
2032,0.070689,0.185103,0.757957,0.379672,0.865485,0.215634,0.010505,0.000113,0.009668,0.194839,4
924,0.245374,0.387778,0.558805,0.420045,0.610837,0.250314,0.003025,2.1e-05,0.003713,0.074119,1
68,0.039194,0.101861,0.866951,0.362051,0.9269,0.200983,0.105587,0.013935,0.117158,0.447484,3
322,0.025946,0.073303,0.902629,0.422236,0.962189,0.252053,0.190364,0.028015,0.166534,0.665848,4
779,0.034035,0.096633,0.871515,0.362968,0.93358,0.201669,0.069004,0.003616,0.059192,0.497673,3
1483,0.022834,0.062357,0.917718,0.367264,0.95745,0.205166,0.234302,0.06869,0.261341,0.543647,3
1983,0.035639,0.09845,0.869812,0.293633,0.966209,0.149006,0.072588,0.004048,0.062684,0.452324,4
619,0.042094,0.118789,0.842246,0.544413,0.749031,0.371466,0.017571,0.000402,0.019079,0.262483,3
957,0.086835,0.186079,0.767384,0.212357,0.945063,0.09577,0.029577,0.000639,0.024301,0.399472,4
1817,0.027582,0.074852,0.901264,0.306292,0.975759,0.158017,0.042292,0.001901,0.042642,0.388254,1
1440,0.007302,0.021549,0.971133,0.666946,0.917016,0.512037,0.12138,0.022356,0.148661,0.398699,1
1927,0.078217,0.156773,0.806982,0.214764,0.964832,0.097034,0.041551,0.001096,0.032144,0.488779,1
2157,0.017039,0.048968,0.934736,0.364094,0.977887,0.202593,0.171505,0.028736,0.168677,0.492454,4
2116,0.052867,0.131854,0.829262,0.542009,0.71477,0.369097,0.032132,0.002136,0.045255,0.24252,3
1684,0.099593,0.254863,0.668414,0.318105,0.771931,0.166965,0.009553,0.000101,0.009088,0.182939,1
1258,0.038087,0.105668,0.860148,0.434758,0.892522,0.263486,0.023658,0.00068,0.025114,0.303063,3
1590,0.021736,0.062178,0.917204,0.412577,0.971354,0.243537,0.062056,0.003484,0.058077,0.452711,4
359,0.051141,0.128989,0.832612,0.238475,0.987385,0.111698,0.028481,0.000671,0.024935,0.360689,1
898,0.021309,0.059574,0.921027,0.380465,0.956744,0.216009,0.118962,0.014758,0.120595,0.447916,2
284,0.07756,0.185854,0.761507,0.506006,0.657229,0.331911,0.011774,0.000343,0.017547,0.205682,3
2230,0.026823,0.076473,0.898237,0.431817,0.927123,0.260695,0.527537,0.219445,0.467912,0.729881,5
694,0.082945,0.212535,0.723118,0.252201,0.910988,0.12067,0.0065,4.6e-05,0.005818,0.117293,1
198,0.116735,0.259147,0.673907,0.235589,0.896554,0.110022,0.022022,0.000363,0.018084,0.366093,3
648,0.106233,0.261637,0.662382,0.188349,0.917536,0.081758,0.011395,8.7e-05,0.008372,0.170238,1
479,0.209743,0.346944,0.596882,0.211344,0.857122,0.095012,0.037568,0.001001,0.030679,0.370711,1
1028,0.017195,0.049425,0.934125,0.849413,0.905974,0.760227,0.022835,0.00076,0.026597,0.143791,5
1370,0.053209,0.124282,0.841355,0.417601,0.940382,0.248021,0.161492,0.034593,0.185169,0.546088,3
377,0.065858,0.183084,0.75759,0.258445,0.937935,0.124777,0.020572,0.000273,0.015542,0.315745,1
1193,0.027609,0.078415,0.895729,0.250006,0.981718,0.119139,0.244045,0.041763,0.203555,0.625676,4
1188,0.032228,0.090295,0.880253,0.564797,0.884084,0.393424,0.036999,0.002623,0.050264,0.289041,1
614,0.127849,0.281452,0.646561,0.248936,0.847971,0.118715,0.036488,0.000884,0.028763,0.361874,3
1379,0.375177,0.524653,0.429708,0.354805,0.207693,0.195283,0.025381,0.000768,0.026739,0.284993,1
672,0.185003,0.333611,0.601929,0.23781,0.877813,0.111351,0.04493,0.001421,0.036735,0.409903,4
2249,0.045572,0.119467,0.84372,0.335256,0.956284,0.1798,0.118234,0.015806,0.124838,0.504902,1
1334,0.049075,0.137742,0.817273,0.448711,0.898164,0.276419,0.004067,3.5e-05,0.00503,0.100496,5
1385,0.048368,0.136303,0.819037,0.304288,0.928245,0.156667,0.001456,6e-06,0.00172,0.03425,1
969,0.045513,0.123789,0.836787,0.201588,0.980966,0.089215,0.231559,0.029951,0.172226,0.706846,3
1158,0.108125,0.266654,0.655747,0.238722,0.868017,0.112056,0.007087,4.9e-05,0.006093,0.123026,3
213,0.040554,0.11094,0.853591,0.405016,0.9098,0.236944,0.126765,0.015917,0.12528,0.520082,1
955,0.315236,0.52205,0.398254,0.135267,0.805685,0.053682,0.009319,5.1e-05,0.006219,0.127076,1
1775,0.02936,0.083481,0.88897,0.556164,0.852783,0.384086,0.331818,0.145436,0.380735,0.616881,3
260,0.16758,0.399152,0.489321,0.250862,0.718058,0.120223,0.002762,9e-06,0.002231,0.045071,1
29,0.043942,0.109953,0.857605,0.240495,0.97105,0.113015,0.119037,0.010874,0.103376,0.512813,3
1516,0.019891,0.056993,0.924085,0.458939,0.932283,0.285716,0.338451,0.132349,0.363155,0.64546,5
2139,0.032936,0.088961,0.88289,0.276935,0.969987,0.137202,0.047779,0.001898,0.042612,0.472974,1
981,0.016309,0.046844,0.937574,0.612164,0.897767,0.446581,0.222878,0.055481,0.234771,0.529415,5
125,0.029322,0.079325,0.895439,0.277853,0.97929,0.137816,0.171859,0.02348,0.152378,0.529494,5
1955,0.058524,0.162937,0.784196,0.451289,0.818783,0.278714,0.041602,0.002703,0.051036,0.358475,1
2161,0.039469,0.110791,0.853023,0.400926,0.89811,0.233472,0.272706,0.081849,0.28537,0.611381,3
2009,0.033081,0.090719,0.880212,0.369909,0.935917,0.207325,0.064488,0.004846,0.068678,0.420016,3
964,0.142183,0.254312,0.698096,0.301003,0.812371,0.154412,0.082909,0.006137,0.07741,0.47907,1
1546,0.02145,0.061377,0.918267,0.435181,0.936014,0.263761,0.028637,0.000846,0.028125,0.286806,5
1216,0.085132,0.204742,0.737054,0.318733,0.867193,0.167286,0.004173,2.3e-05,0.003907,0.07858,2
1515,0.113283,0.218447,0.735009,0.384186,0.740065,0.219244,0.01594,0.00036,0.017996,0.291093,1
1704,0.337453,0.537022,0.388277,0.188392,0.603046,0.081825,0.025949,0.000392,0.018838,0.318363,1
1282,0.049671,0.115994,0.851674,0.631545,0.960239,0.469347,0.039332,0.00442,0.065542,0.297742,5
943,0.068642,0.184602,0.757242,0.239226,0.952485,0.112248,0.121486,0.009998,0.09908,0.618359,4
1556,0.161506,0.339821,0.576356,0.269985,0.72011,0.132846,0.007741,6.6e-05,0.007174,0.144497,1
1337,0.046786,0.128572,0.830155,0.2918,0.941471,0.147655,0.010405,0.000119,0.009968,0.20063,3
166,0.025714,0.069716,0.90816,0.437669,0.944338,0.266015,0.108687,0.014895,0.121158,0.463453,4
72,0.029596,0.084248,0.887924,0.434137,0.926866,0.262836,0.288986,0.115684,0.339456,0.593647,3
1351,0.393408,0.662437,0.233595,0.119031,0.588063,0.045886,0.00375,8e-06,0.001972,0.040916,3
2056,0.02614,0.073354,0.902691,0.260519,0.98315,0.126055,0.087654,0.00445,0.06577,0.487164,2
776,0.053057,0.134258,0.825775,0.248202,0.966497,0.11802,0.226931,0.040389,0.200163,0.719251,1
7,0.023508,0.067125,0.91065,0.563664,0.886792,0.392204,0.200625,0.071626,0.266889,0.548028,1
321,0.011808,0.03425,0.95427,0.227728,0.998666,0.104933,0.026193,0.000545,0.022378,0.404325,1
703,0.064043,0.132909,0.835242,0.232614,0.974617,0.107997,0.136536,0.013749,0.116366,0.548978,3
1551,0.032745,0.092464,0.87719,0.434853,0.943927,0.263409,0.010724,0.000162,0.011766,0.235999,5
1167,0.064537,0.160836,0.792017,0.539176,0.642423,0.365945,0.006567,9.6e-05,0.008868,0.177076,5
409,0.016852,0.046943,0.937821,0.857927,0.844015,0.77294,0.023466,0.002109,0.044965,0.197231,5
722,0.114644,0.20663,0.754412,0.311161,0.861695,0.161656,0.011592,0.000156,0.01152,0.231664,5
1072,0.053757,0.145228,0.808838,0.490153,0.822456,0.316099,0.006771,7.7e-05,0.007802,0.156239,4
1505,0.114631,0.251026,0.683725,0.349602,0.776978,0.191166,0.028481,0.001053,0.031482,0.330806,1
1236,0.060277,0.157481,0.794175,0.477145,0.798888,0.303344,0.015135,0.000439,0.019993,0.239906,5
877,0.069788,0.180191,0.765051,0.271285,0.911195,0.133401,0.022937,0.000458,0.020441,0.383709,3
670,0.049857,0.140648,0.813229,0.445269,0.816343,0.273028,0.099105,0.007032,0.082935,0.515751,1
2252,0.135583,0.305099,0.614649,0.276119,0.806244,0.136794,0.15716,0.01955,0.138951,0.633777,3
317,0.087742,0.200204,0.746075,0.385429,0.78816,0.220349,0.045709,0.002948,0.053343,0.383034,3
628,0.097885,0.233276,0.701373,0.161617,0.957669,0.067004,0.007458,3.6e-05,0.005083,0.103719,1
2025,0.028076,0.07973,0.893984,0.3789,0.944329,0.214712,0.17122,0.026404,0.161646,0.530054,3
365,0.021138,0.059892,0.920396,0.375946,0.959024,0.212259,0.153273,0.027147,0.163919,0.461719,3
393,0.01987,0.056648,0.924619,0.375285,0.967081,0.211735,0.513842,0.299876,0.547152,0.657468,3
1718,0.068017,0.171662,0.777297,0.393395,0.812207,0.227048,0.005102,5.4e-05,0.006407,0.128036,3
2231,0.052804,0.126395,0.837778,0.425243,0.876121,0.254828,0.04196,0.002533,0.049378,0.278151,1
249,0.112304,0.282371,0.634061,0.220122,0.870573,0.100535,0.00547,3e-05,0.004536,0.09168,4
1893,0.17396,0.365667,0.546771,0.118145,0.909415,0.045558,0.015798,0.000118,0.0099,0.203161,5
1162,0.053199,0.135508,0.823871,0.298398,0.944007,0.152342,0.036792,0.00141,0.036593,0.309426,1
1760,0.171528,0.36582,0.544151,0.277559,0.680177,0.137937,0.002508,1.3e-05,0.002675,0.053537,3
762,0.093528,0.218911,0.720359,0.220706,0.942879,0.100666,0.307963,0.065303,0.254792,0.740408,1
235,0.044657,0.121868,0.839253,0.326551,0.932581,0.173141,0.026108,0.000643,0.024393,0.370769,3
2277,0.210886,0.401076,0.515306,0.171918,0.843956,0.072693,0.002464,8e-06,0.002003,0.040435,2
760,0.127236,0.310228,0.600715,0.276092,0.765334,0.136977,0.004001,2.4e-05,0.003981,0.079916,4
1562,0.028574,0.076981,0.898682,0.604122,0.901835,0.43738,0.055536,0.007173,0.08377,0.290357,4
1896,0.031571,0.089534,0.880981,0.410208,0.915643,0.241526,0.015002,0.000272,0.015517,0.311772,2
1547,0.024801,0.070793,0.905772,0.804304,0.725096,0.694593,0.224521,0.101303,0.317592,0.49303,5
352,0.074541,0.194481,0.745892,0.511644,0.56508,0.337623,0.056129,0.003325,0.056715,0.41554,3
1073,0.017655,0.050706,0.932428,0.291839,0.985162,0.147599,0.3078,0.079101,0.280522,0.605791,3
323,0.037325,0.105223,0.860286,0.268617,0.970935,0.131503,0.032132,0.000856,0.028285,0.432294,3
2199,0.118988,0.264562,0.66668,0.318668,0.876949,0.167436,0.014013,0.00015,0.011292,0.228704,3
634,0.07074,0.175107,0.773762,0.404029,0.792508,0.23614,0.001811,1.4e-05,0.002865,0.056866,1
641,0.063695,0.165221,0.784364,0.440416,0.805671,0.268665,0.014505,0.000364,0.018116,0.273234,3
2042,0.254659,0.494633,0.400737,0.267561,0.313228,0.131209,0.006661,3.4e-05,0.004873,0.099057,3
1287,0.041204,0.116536,0.845169,0.384965,0.920312,0.219817,0.015541,0.000231,0.014219,0.286706,1
1166,0.027934,0.077898,0.896792,0.432404,0.928202,0.26124,0.079713,0.007967,0.088342,0.409395,1
1735,0.073113,0.179225,0.768986,0.28166,0.913872,0.140544,0.074016,0.004003,0.062327,0.450293,3
1531,0.0168,0.048313,0.9356,0.635316,0.826787,0.473803,0.317643,0.065563,0.255301,0.670437,3
1703,0.08587,0.214492,0.722448,0.443898,0.77206,0.271925,0.010626,0.000187,0.012729,0.254862,3
1981,0.030204,0.085784,0.885932,0.467137,0.900364,0.29359,0.061001,0.005946,0.076182,0.353158,3
2024,0.060227,0.167962,0.77747,0.434352,0.789066,0.263148,0.009387,0.000147,0.011161,0.223464,1
1538,0.204893,0.359692,0.574298,0.197164,0.868035,0.086834,0.016478,0.000199,0.013147,0.266428,1
661,0.163162,0.34099,0.577843,0.222559,0.849482,0.101854,0.006589,4.1e-05,0.005439,0.10998,1
1965,0.06158,0.160961,0.789566,0.346951,0.900505,0.188976,0.007628,7.7e-05,0.007816,0.156979,1
2077,0.027797,0.078893,0.895108,0.533125,0.858818,0.359564,0.284266,0.100505,0.316334,0.586024,1
2082,0.286262,0.470231,0.458925,0.149593,0.799967,0.060921,0.003909,1.2e-05,0.002589,0.052856,2
1603,0.175837,0.330864,0.601074,0.23829,0.782291,0.111783,0.074225,0.003783,0.060565,0.502221,3
340,0.031124,0.075233,0.903277,0.244718,0.987819,0.115678,0.100934,0.008005,0.088551,0.481432,1
972,0.06984,0.175465,0.772648,0.393886,0.902698,0.227481,0.049462,0.003532,0.058486,0.365912,1
750,0.023331,0.065959,0.912372,0.393819,0.946945,0.227283,0.192362,0.045241,0.211902,0.516025,3
160,0.114546,0.273867,0.649178,0.198543,0.911814,0.087555,0.023356,0.000298,0.016297,0.332402,3
1447,0.034465,0.097444,0.870543,0.44987,0.879262,0.277263,0.03975,0.001421,0.036737,0.38681,2
2278,0.029316,0.083173,0.889427,0.549379,0.853525,0.376735,0.200039,0.068582,0.261135,0.508615,3
801,0.049767,0.135771,0.82092,0.300558,0.941701,0.153912,0.036218,0.001227,0.034065,0.450342,3
1477,0.031271,0.088618,0.882215,0.481717,0.881529,0.307575,0.2301,0.065766,0.255697,0.577756,3
714,0.021674,0.061102,0.91887,0.409508,0.952755,0.240856,0.064248,0.004254,0.064283,0.412975,3
2188,0.017382,0.049276,0.934501,0.333751,0.990703,0.178594,0.160298,0.019694,0.139469,0.501265,1
446,0.062522,0.15266,0.803386,0.356881,0.90738,0.1968,0.038445,0.001913,0.042774,0.333073,2
1724,0.013226,0.03826,0.948943,0.807313,0.885875,0.698853,0.356128,0.25499,0.504465,0.545175,5
2104,0.037027,0.091171,0.882091,0.262302,0.97577,0.127247,0.285188,0.067612,0.259275,0.665373,1
1037,0.033336,0.090939,0.880054,0.382776,0.939304,0.217985,0.103908,0.012905,0.112704,0.446523,3
2198,0.088241,0.208397,0.733806,0.407356,0.786104,0.239137,0.113692,0.016735,0.128485,0.506371,2
417,0.089443,0.196531,0.752979,0.246764,0.972587,0.117032,0.052411,0.001993,0.043683,0.466894,3
1288,0.021991,0.062884,0.91627,0.518114,0.90266,0.344036,0.10491,0.017594,0.131768,0.409531,1
1462,0.041516,0.108528,0.858104,0.320613,0.952934,0.168657,0.019126,0.000399,0.019005,0.316982,1
840,0.131456,0.274066,0.658518,0.202278,0.877782,0.08975,0.0,1e-06,0.000224,0.004204,2
1628,0.114266,0.236209,0.706876,0.145714,0.967573,0.058745,0.00164,3e-06,0.001095,0.022273,3
262,0.08164,0.197099,0.746666,0.347527,0.844397,0.189505,0.034192,0.001315,0.0353,0.345419,6
1117,0.040171,0.111899,0.85173,0.248743,0.970338,0.118308,0.141276,0.012385,0.11039,0.528814,1
759,0.028708,0.081535,0.891581,0.334527,0.957712,0.179239,0.123901,0.01357,0.115597,0.510869,3
1168,0.024591,0.070178,0.906595,0.37617,0.95506,0.212463,0.040751,0.001364,0.035973,0.428127,4
312,0.013073,0.037369,0.950248,0.750863,0.91126,0.620422,0.018889,0.000871,0.028541,0.293705,5
1099,0.033262,0.088945,0.883151,0.510904,0.894679,0.336686,0.085925,0.011648,0.107027,0.362899,5
1182,0.056869,0.156874,0.79262,0.406483,0.896303,0.238373,0.025161,0.000796,0.027248,0.32202,4
156,0.117172,0.254892,0.681053,0.211893,0.906763,0.09538,0.032132,0.000661,0.024744,0.399763,3
532,0.120296,0.240414,0.704933,0.237941,0.890701,0.111504,0.011536,0.000113,0.009686,0.195838,1
195,0.057906,0.136314,0.825773,0.465076,0.838367,0.29164,0.062359,0.006169,0.077615,0.405024,2
1576,0.062383,0.170007,0.775803,0.347165,0.872237,0.18912,0.113026,0.01344,0.115037,0.574575,1
302,0.068183,0.163769,0.789834,0.353957,0.904783,0.194482,0.026104,0.000623,0.02399,0.240143,2
2172,0.062322,0.165801,0.782471,0.281443,0.929504,0.140356,0.003727,2.2e-05,0.003788,0.075985,1
2,0.065067,0.1732,0.772726,0.200429,0.96142,0.088578,0.026108,0.000371,0.018287,0.372928,3
511,0.024734,0.068362,0.909587,0.446311,0.941075,0.273933,0.022325,0.000817,0.027619,0.274474,4
1213,0.136586,0.276781,0.658817,0.319035,0.716713,0.167613,0.009224,9.5e-05,0.008808,0.177279,2
354,0.027352,0.075983,0.899402,0.341827,0.957376,0.184857,0.068198,0.004888,0.068978,0.403442,1
876,0.027842,0.073555,0.903563,0.467089,0.893249,0.293468,0.100744,0.015876,0.125116,0.411026,3
1336,0.038181,0.108053,0.856422,0.357483,0.925541,0.197224,0.032177,0.001213,0.033863,0.370063,3
2219,0.116884,0.277945,0.644226,0.20585,0.889502,0.091935,0.014133,0.00014,0.010856,0.220339,1
769,0.121391,0.274138,0.653668,0.210504,0.881213,0.094646,0.018615,0.000208,0.013446,0.273729,1
2120,0.048781,0.13493,0.821529,0.4423,0.839933,0.270365,0.086544,0.009658,0.097366,0.465742,2
268,0.422382,0.599794,0.344468,0.238864,0.536962,0.112226,0.031772,0.000736,0.02616,0.3277,1
10,0.350502,0.529099,0.409692,0.192026,0.611991,0.083825,0.105132,0.006753,0.081251,0.571012,3
1197,0.065852,0.174403,0.771404,0.284757,0.904573,0.142787,0.029788,0.000529,0.022037,0.448198,3
1029,0.081493,0.217017,0.715211,0.184445,0.954658,0.079514,0.006343,2.7e-05,0.004328,0.088284,3
1818,0.078931,0.211031,0.722829,0.262158,0.897236,0.127269,0.022937,0.000441,0.020028,0.326215,2
1575,0.046636,0.127028,0.83251,0.31956,0.939511,0.167851,0.011098,0.000115,0.00976,0.197007,6
1426,0.015353,0.043658,0.941933,0.850212,0.983385,0.761386,0.09958,0.029628,0.171291,0.349845,5
570,0.041777,0.117703,0.843738,0.446418,0.888528,0.274105,0.007836,0.000127,0.010328,0.206373,3
